RAP-DB name,MSU-RGAP name,
Os05g0333200,LOC_Os05g26890,
Os10g0497300,LOC_Os10g35436,
Os02g0735200,LOC_Os02g50240,
Os01g0205700,LOC_Os01g10840,
Os07g0235800,LOC_Os07g13170,
Os03g0184000,LOC_Os03g08570,
Os06g0717200,LOC_Os06g50340,
Os09g0441900,LOC_Os09g26999,
Os02g0759800,LOC_Os02g52250,
Os07g0666900,LOC_Os07g47100,
Os06g0612800,LOC_Os06g41010,
Os01g0884300,LOC_Os01g66120,
Os03g0815100,LOC_Os03g60080,
Os09g0486500,LOC_Os09g31200,
Os03g0786400,LOC_Os03g57240,
Os07g0108800,LOC_Os07g01810,
Os09g0522200,LOC_Os09g35030,
Os04g0572400,LOC_Os04g48350,
Os08g0545500,LOC_Os08g43210,
Os05g0346200,LOC_Os05g27930,
Os02g0743500,LOC_Os02g50970,
Os11g0528700,LOC_Os11g32520,
Os02g0766700,LOC_Os02g52780,
Os08g0112700,LOC_Os08g02070,
Os11g0184900,LOC_Os11g08210,
Os03g0645900,LOC_Os03g44380,
Os02g0178800,LOC_Os02g08230,
Os09g0456200,LOC_Os09g28310,
Os01g0104100,LOC_Os01g01420,
Os01g0839100,LOC_Os01g62190,
Os02g0543000,LOC_Os02g33820,
Os06g0130100,LOC_Os06g03970,
Os11g0126900,LOC_Os11g03300,
Os05g0322900,LOC_Os05g25770,
Os01g0867300,LOC_Os01g64730,
Os02g0615800,LOC_Os02g40240,
Os12g0583700,LOC_Os12g39400,
Os07g0587400,LOC_Os07g39870,
Os03g0820300,LOC_Os03g60560,
Os03g0640800,LOC_Os03g43930,
Os01g0750100,LOC_Os01g54600,
Os02g0657000,LOC_Os02g43970,
Os03g0285800,LOC_Os03g17700,
Os03g0277000,LOC_Os03g16900,
Os08g0472800,LOC_Os08g36860,
Os09g0457100,LOC_Os09g28390,
Os03g0125100,LOC_Os03g03370,
Os11g0167800,LOC_Os11g06720,
Os06g0644200,LOC_Os06g43660,
Os09g0434200,LOC_Os09g26400,
Os12g0569700,LOC_Os12g38180,
Os01g0136200,LOC_Os01g04380,
Os01g0626400,LOC_Os01g43650,
Os08g0546800,LOC_Os08g43334,
Os01g0615100,LOC_Os01g42860,
Os05g0542500,LOC_Os05g46480,
Os01g0968800,LOC_Os01g73770,
Os04g0584600,LOC_Os04g49510,
Os02g0671100,LOC_Os02g44990,
Os08g0504700,LOC_Os08g39450,
Os01g0955100,LOC_Os01g72530,
Os11g0154900,LOC_Os11g05640,
Os06g0727200,LOC_Os06g51150,
Os04g0530500,LOC_Os04g44820,
Os10g0177200,LOC_Os10g09850,
Os02g0782700,LOC_Os02g54160,
Os07g0694700,LOC_Os07g49400,
Os09g0426800,LOC_Os09g25850,
Os08g0445700,LOC_Os08g34580,
Os03g0128700,LOC_Os03g03660,
Os03g0356414,LOC_Os03g24040,
Os06g0653000,LOC_Os06g44300,
Os02g0621300,LOC_Os02g40784,
Os10g0471100,LOC_Os10g33250,
Os02g0814200,LOC_Os02g56920,
Os04g0512200,LOC_Os04g43270,
Os07g0101500,LOC_Os07g01150,
Os07g0627700,LOC_Os07g43460,
Os10g0545200,LOC_Os10g39810,
Os11g0707600,LOC_Os11g48020,
Os03g0272300,LOC_Os03g16570,
Os09g0426800,LOC_Os09g25850,
Os07g0129200,LOC_Os07g03710,
Os04g0401700,LOC_Os04g32920,
Os08g0472000,LOC_Os08g36790,
Os05g0349800,LOC_Os05g28210,
Os01g0959100,LOC_Os01g72900,
Os01g0959200,LOC_Os01g72910,
Os04g0423400,LOC_Os04g34600,
Os01g0963600,LOC_Os01g73250,
Os01g0165000,LOC_Os01g07120,
Os01g0764800,LOC_Os01g55940,
Os01g0797600,LOC_Os01g58420,
Os08g0499300,LOC_Os08g38990,
Os07g0644100,LOC_Os07g44950,
Os04g0448900,LOC_Os04g37619,
Os06g0211200,LOC_Os06g10880,
Os03g0140400,LOC_Os03g04680,
Os03g0805100,LOC_Os03g59040,
Os07g0200700,LOC_Os07g10130,
Os02g0202000,LOC_Os02g10760,
Os06g0604000,LOC_Os06g40150,
Os01g0946700,LOC_Os01g71830,
Os08g0454000,LOC_Os08g35240,
Os05g0213500,LOC_Os05g12260,
Os03g0743500,LOC_Os03g53200,
Os01g0135700,LOC_Os01g04330,
Os03g0183000,LOC_Os03g08470,
Os01g0279900,LOC_Os01g17260,
Os02g0191600,LOC_Os02g09830,
Os05g0437700,LOC_Os05g36160,
Os05g0569300,LOC_Os05g49420,
Os07g0686100,LOC_Os07g48660,
Os09g0306400,LOC_Os09g13570,
Os07g0680400,LOC_Os07g48260,
Os03g0315400,LOC_Os03g20090,
Os06g0308100,LOC_Os06g20340,
Os05g0195101,LOC_Os05g10670,
Os03g0322900,LOC_Os03g20680,
Os08g0196700,LOC_Os08g09690,
Os01g0643300,LOC_Os01g45550,
Os06g0561000,LOC_Os06g36560,
Os03g0230300,LOC_Os03g12820,
Os09g0439800,LOC_Os09g26840,
Os07g0186200,LOC_Os07g08860,
Os04g0460600,LOC_Os04g38720,
Os01g0648000,LOC_Os01g45990,
Os03g0281900,LOC_Os03g17350,
Os03g0117900,LOC_Os03g02650,
Os03g0179400,LOC_Os03g08170,
Os04g0682800,LOC_Os04g58620,
Os02g0736400,LOC_Os02g50350,
Os03g0286900,LOC_Os03g17790,
Os02g0149800,LOC_Os02g05630,
Os01g0177900,LOC_Os01g08260,
Os02g0126400,LOC_Os02g03410,
Os10g0148000,LOC_Os10g05720,
Os02g0255500,LOC_Os02g15640,
Os05g0475400,LOC_Os05g39770,
Os09g0110300,LOC_Os09g02270,
Os03g0610400,LOC_Os03g41390,
Os12g0405200,LOC_Os12g21710,
Os02g0195600,LOC_Os02g10200,
Os08g0431900,LOC_Os08g33488,
Os07g0168800,LOC_Os07g07350,
Os06g0498800,LOC_Os06g30370,
Os08g0408500,LOC_Os08g31580,
Os03g0411100,LOC_Os03g29760,
Os01g0208600,LOC_Os01g11040,
Os01g0191300,LOC_Os01g09550,
Os03g0793000,LOC_Os03g57900,
Os05g0421600,LOC_Os05g34830,
Os06g0693700,LOC_Os06g47860,
Os04g0590400,LOC_Os04g50060,
Os11g0211800,LOC_Os11g10590,
Os01g0741900,LOC_Os01g53880,
Os04g0574700,LOC_Os04g48530,
Os02g0753800,LOC_Os02g51750,
Os03g0140200,LOC_Os03g04660,
Os04g0676700,LOC_Os04g58020,
Os03g0699700,LOC_Os03g49260,
Os02g0731700,LOC_Os02g49880,
Os10g0456800,LOC_Os10g31850,
Os08g0492500,LOC_Os08g38460,
Os06g0598800,LOC_Os06g39750,
Os11g0149100,LOC_Os11g05160,
Os06g0562200,LOC_Os06g36670,
Os07g0569700,LOC_Os07g38240,
Os04g0481900,LOC_Os04g40590,
Os07g0556800,LOC_Os07g37090,
Os02g0304900,LOC_Os02g20170,
Os07g0138400,LOC_Os07g04580,
Os01g0839200,LOC_Os01g62200,
Os05g0592800,LOC_Os05g51510,
Os03g0225100,LOC_Os03g12390,
Os01g0173100,LOC_Os01g07810,
Os06g0194000,LOC_Os06g09390,
Os03g0214200,LOC_Os03g11550,
Os02g0215900,LOC_Os02g12440,
Os06g0316000,LOC_Os06g21110,
Os03g0757500,LOC_Os03g55040,
Os01g0296200,LOC_Os01g19170,
Os11g0704500,LOC_Os11g47809,
Os06g0143000,LOC_Os06g05110,
Os03g0133000,LOC_Os03g04070,
Os01g0709000,LOC_Os01g51260,
Os03g0669200,LOC_Os03g46650,
Os01g0975300,LOC_Os01g74410,
Os06g0614000,LOC_Os06g41090,
Os06g0726300,LOC_Os06g51070,
Os04g0653000,LOC_Os04g55920,
Os03g0764100,LOC_Os03g55540,
Os06g0166500, LOC_Os06g07040,
Os03g0741100,LOC_Os03g53020,
Os08g0431900,LOC_Os08g33488,
